id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
6694,Konut,Daire,1/27/19,,2,31,0,1,,1+1,40,Aksaray/Merkez/Çerdiğin,,Kalorifer (Doğalgaz),1000,TRY
6695,Konut,Daire,11/16/18,,2,103,21-25 arası,5,Kot 4,3+1,130,İstanbul/Avcılar/Denizköşkler,,Kalorifer (Doğalgaz),1500,TRY
6696,Konut,Prefabrik Ev,2/5/19,,1,22,,2,,3+1,150,Kayseri/Kocasinan/Fatih,,Kalorifer (Doğalgaz),187500,TRY
6697,Konut,Daire,11/2/18,,1,117,21-25 arası,4,2,2+1,,Tekirdağ/Süleymanpaşa/Yavuz,,Kalorifer (Doğalgaz),120000,TRY
6698,Konut,Komple Bina,11/19/18,,1,100,4,3,,+,480,Bursa/Nilüfer/Karaman,,Kalorifer (Doğalgaz),2500000,TRY
6699,Konut,Daire,1/6/19,2/5/19,2,30,21-25 arası,5,Giriş Katı,3+1,130,İstanbul/Avcılar/Denizköşkler,,Kalorifer (Doğalgaz),1000,TRY
6700,Konut,Daire,11/14/18,,1,105,3,2,9,2+1,160,Adana/Seyhan/Gürselpaşa,,Kalorifer (Doğalgaz),269000,TRY
6701,Konut,Daire,12/20/18,12/20/18,1,0,0,6,Bahçe katı,2+1,90,İstanbul/Esenyurt/Pınar,,Kalorifer (Doğalgaz),125000,TRY
6702,Konut,Daire,10/10/18,11/6/18,2,27,2,10-20 arası,10,2+1,,Rize/Merkez/Gülbahar,,Kalorifer (Doğalgaz),950,TRY
6703,Konut,Daire,12/3/18,,1,86,0,5,Kot 1,2+1,100,İzmir/Ödemiş/Mimar Sinan,,Kalorifer (Doğalgaz),165000,TRY
6704,Konut,Daire,1/31/19,,1,27,0,10-20 arası,9,3+1,115,Adana/Sarıçam/Çarkıpare,,Kalorifer (Doğalgaz),205000,TRY
