id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
1,Konut,Rezidans,12/10/18,1/9/19,2,30,0,20 ve üzeri,2,2+1,90,İstanbul/Kartal/Kordonboyu,,Fancoil,3500,TRY
2,Konut,Daire,2/13/19,,1,14,0,20 ve üzeri,20 ve üzeri,1+0,43,İstanbul/Kartal/Kordonboyu,,Fancoil,490000,TRY
3,Konut,Daire,10/9/18,11/8/18,1,30,0,1,Yüksek Giriş,2+1,,Tekirdağ/Çorlu/Reşadiye,,Fancoil,155000,TRY
4,Konut,Rezidans,9/10/18,10/10/18,1,30,3,20 ve üzeri,20 ve üzeri,6+1,450,İstanbul/Beşiktaş/Levent,,Fancoil,32500000,TRY
5,Konut,Rezidans,12/10/18,1/9/19,1,30,0,20 ve üzeri,2,2+1,90,İstanbul/Kartal/Kordonboyu,,Fancoil,1450000,TRY
6,Konut,Rezidans,11/9/18,12/9/18,1,30,2,10-20 arası,10,1+1,45,İstanbul/Maltepe/Altayçeşme,,Fancoil,780000,TRY
7,Konut,Daire,1/4/19,,2,54,0,20 ve üzeri,14,3+1,160,İstanbul/Kartal/Kordonboyu,,Fancoil,3750,TRY
8,Konut,Villa,10/3/18,1/3/19,1,92,0,4,,4+1,,İzmir/Urla/M. Fevzi Çakmak,,Fancoil,1500000,TRY
9,Konut,Daire,2/16/19,,1,11,,2,Kot 2,3+1,140,Çanakkale/Ayvacık/Küçükkuyu Bld. (Mıhlı),,Fancoil,1500000,TRY
10,Konut,Daire,12/26/18,12/26/18,1,0,1,1,Asma Kat,2+2,550,İstanbul/Fatih/Sarıdemir,,Fancoil,84256,GBP
11,Konut,Müstakil Ev,11/13/18,11/26/18,1,13,0,1,Bahçe katı,3+1,125,Muğla/Bodrum/Ortakentyahşi,,Fancoil,2450000,TRY
12,Konut,Rezidans,1/5/19,1/18/19,2,13,2,20 ve üzeri,20 ve üzeri,3+1,165,İzmir/Bayraklı/Adalet,,Fancoil,7500,TRY
13,Konut,Daire,9/13/18,10/13/18,1,30,0,3,2,2+1,,Aydın/Efeler/Ata,,Fancoil,270000,TRY
14,Konut,Rezidans,10/3/18,11/2/18,1,30,0,10-20 arası,11,2+1,,Mersin/Yenişehir/Akkent,,Fancoil,270000,TRY
15,Konut,Daire,9/22/18,,1,158,1,4,3,3+1,,Manisa/Turgutlu/Şehitler,,Fancoil,75000,TRY
16,Konut,Villa,10/2/18,1/4/19,2,94,6-10 arası,2,,4+1,200,İzmir/Urla/Çamlıçay,,Fancoil,3600,TRY
17,Konut,Rezidans,11/9/18,12/9/18,1,30,0,8,3,1+1,85,İstanbul/Şişli/İnönü,,Fancoil,3800000,TRY
18,Konut,Daire,12/10/18,1/9/19,2,30,0,20 ve üzeri,20 ve üzeri,2+1,84,İstanbul/Kartal/Kordonboyu,,Fancoil,4200,TRY
19,Konut,Rezidans,11/22/18,,2,97,2,10-20 arası,13,1+0,50,İstanbul/Maltepe/Altayçeşme,,Fancoil,2000,TRY
20,Konut,Rezidans,9/10/18,2/11/19,1,154,3,20 ve üzeri,20 ve üzeri,6+1,450,İstanbul/Beşiktaş/Levent,,Fancoil,32500000,TRY
21,Konut,Daire,9/20/18,9/20/18,1,0,4,10-20 arası,2,9+2,,Ankara/Çankaya/Karataş,,Fancoil,829343,TRY
22,Konut,Rezidans,10/9/18,,1,141,2,20 ve üzeri,10,1+1,,İstanbul/Bağcılar/Göztepe,,Fancoil,420000,TRY
23,Konut,Rezidans,11/9/18,12/9/18,1,30,2,10-20 arası,7,1+1,55,İstanbul/Maltepe/Altayçeşme,,Fancoil,750000,TRY
24,Konut,Daire,11/23/18,1/14/19,2,52,1,10-20 arası,11,2+1,100,Mersin/Yenişehir/Afetevler,,Fancoil,1100,TRY
25,Konut,Daire,9/13/18,11/13/18,1,61,0,3,2,2+1,,Aydın/Efeler/Ata,,Fancoil,270000,TRY
26,Konut,Daire,10/13/18,11/12/18,1,30,0,20 ve üzeri,20 ve üzeri,2+1,,İstanbul/Kartal/Kordonboyu,,Fancoil,1750000,TRY
27,Konut,Daire,11/1/18,,1,118,3,4,3,2+1,100,Balıkesir/Edremit/Akçay,,Fancoil,280000,TRY
28,Konut,Rezidans,11/9/18,12/9/18,1,30,2,10-20 arası,11,1+1,70,İstanbul/Maltepe/Altayçeşme,,Fancoil,720000,TRY
29,Konut,Daire,12/5/18,1/4/19,2,30,0,20 ve üzeri,16,1+0,30,İstanbul/Kartal/Çavuşoğlu,,Fancoil,1300,TRY
30,Konut,Villa,10/3/18,12/2/18,1,60,0,4,,4+1,,İzmir/Urla/M. Fevzi Çakmak,,Fancoil,1500000,TRY
31,Konut,Müstakil Ev,10/14/18,,1,136,0,3,Müstakil,5+2,,Muğla/Bodrum/Bitez,,Fancoil,3750000,TRY
32,Konut,Villa,1/5/19,,1,53,0,3,,4+1,200,Çanakkale/Merkez/Çınarlı Köyü,,Fancoil,590000,TRY
33,Konut,Rezidans,11/5/18,,1,114,16-20 arası,7,Zemin Kat,6+3,618173,İstanbul/Avcılar/Yeşilkent,,Fancoil,847000,TRY
34,Konut,Villa,12/25/18,2/23/19,1,60,0,3,,4+1,225,Balıkesir/Gömeç/Karaağaç,,Fancoil,720000,TRY
35,Konut,Daire,1/24/19,,1,34,0,4,Bahçe katı,2+1,90,İzmir/Karaburun/İskele,,Fancoil,325000,TRY
36,Konut,Daire,10/8/18,,1,142,26-30 arası,4,,2+1,,İzmir/Bornova/Yeşilova,,Fancoil,900000,TRY
37,Konut,Rezidans,9/10/18,9/17/18,1,7,40 ve üzeri,6,19,2+2,,İstanbul/Avcılar/Cihangir,,Fancoil,46800,EUR
38,Konut,Daire,10/13/18,12/12/18,2,60,0,20 ve üzeri,20 ve üzeri,1+0,30,İstanbul/Kartal/Kordonboyu,,Fancoil,1250,TRY
39,Konut,Villa,10/10/18,,1,140,2,1,Müstakil,3+1,158,Muğla/Bodrum/Yokuşbaşı,,Fancoil,2300000,TRY
40,Konut,Villa,11/2/18,,1,117,3,3,,5+2,,Aydın/Nazilli/Ocaklı,,Fancoil,730000,TRY
41,Konut,Rezidans,11/22/18,,2,97,2,10-20 arası,4,1+1,52,İstanbul/Maltepe/Altayçeşme,,Fancoil,3000,TRY
42,Konut,Villa,2/20/19,,1,7,11-15 arası,3,,6+2,387,İstanbul/Beykoz/Riva,,Fancoil,3250000,TRY
43,Konut,Villa,10/23/18,,1,127,0,2,Bahçe katı,3+1,105,Muğla/Bodrum/Yakaköy,,Fancoil,1040000,TRY
44,Konut,Villa,1/11/19,,1,47,6-10 arası,2,,6+1,400,İzmir/Güzelbahçe/Yelki,,Fancoil,1950000,TRY
45,Konut,Daire,11/13/18,2/1/19,2,80,6-10 arası,5,5,2+1,140,İstanbul/Beşiktaş/Yıldız,,Fancoil,9700,TRY
46,Konut,Villa,10/3/18,11/6/18,1,34,0,3,,4+1,,İzmir/Urla/Güvendik,,Fancoil,890000,TRY
47,Konut,Daire,1/16/19,,1,42,6-10 arası,4,Bahçe katı,1+1,61,İzmir/Menemen/9 Eylül,,Fancoil,395000,TRY
48,Konut,Villa,1/11/19,,1,47,0,3,,4+1,200,İzmir/Urla/Zeytinalanı,,Fancoil,850000,TRY
49,Konut,Kooperatif,11/10/18,12/10/18,1,30,0,10,Müstakil,1+0,1,İzmir/Aliağa/Yenişakran,,Fancoil,300000,TRY
50,Konut,Villa,11/30/18,1/29/19,1,60,0,3,,4+1,215,İzmir/Güzelbahçe/Kahramandere,,Fancoil,1750000,TRY
51,Konut,Rezidans,11/28/18,12/28/18,1,30,2,10-20 arası,5,1+1,47,İstanbul/Maltepe/Altayçeşme,,Fancoil,810000,TRY
52,Konut,Müstakil Ev,12/11/18,,1,78,3,3,,3+1,150,İzmir/Urla/Güvendik,,Fancoil,1000000,TRY
53,Konut,Rezidans,9/19/18,,1,161,3,10-20 arası,13,2+1,,İstanbul/Maltepe/Altayçeşme,,Fancoil,495000,TRY
54,Konut,Rezidans,12/11/18,,1,78,0,20 ve üzeri,20 ve üzeri,3+1,190,İstanbul/Sarıyer/Maslak,,Fancoil,250000,USD
55,Konut,Daire,10/10/18,11/9/18,1,30,11-15 arası,2,Yüksek Giriş,3+1,,Balıkesir/Edremit/Akçay,,Fancoil,207000,TRY
56,Konut,Villa,2/19/19,,1,8,6-10 arası,4,,5+2,140,İzmir/Seferihisar/Düzce,,Fancoil,575000,TRY
57,Konut,Daire,12/20/18,1/19/19,2,30,0,2,Yüksek Giriş,3+1,120,Balıkesir/Burhaniye/Ören,,Fancoil,1600,TRY
58,Konut,Villa,10/2/18,11/1/18,2,30,6-10 arası,2,,4+1,200,İzmir/Urla/Çamlıçay,,Fancoil,3600,TRY
59,Konut,Daire,12/25/18,2/23/19,1,60,0,4,4,3+1,160,Balıkesir/Ayvalık/Ali Çetinkaya,,Fancoil,1000000,TRY
60,Konut,Rezidans,10/11/18,12/14/18,1,64,0,20 ve üzeri,20 ve üzeri,3+1,,İstanbul/Şişli/Mecidiyeköy,,Fancoil,10500000,TRY
61,Konut,Villa,9/21/18,,2,159,16-20 arası,2,Müstakil,4+3,,İzmir/Güzelbahçe/Siteler,,Fancoil,4000,TRY
62,Konut,Daire,11/8/18,11/9/18,1,1,1,10-20 arası,En Üst Kat,9+5,60,Ankara/Çankaya/Barbaros,,Fancoil,500000,TRY
63,Konut,Rezidans,11/9/18,12/9/18,2,30,1,8,8,4+1,185,İstanbul/Şişli/İnönü,,Fancoil,12500,TRY
64,Konut,Villa,1/4/19,,1,54,0,2,,3+1,227,KKTC/Gazimağusa/Yeni Boğaziçi Köyü,,Fancoil,180000,GBP
65,Konut,Rezidans,2/26/19,,1,1,4,10-20 arası,15,2+1,68,İstanbul/Maltepe/Altayçeşme,,Fancoil,450000,TRY
66,Konut,Daire,9/5/18,11/4/18,1,60,0,10-20 arası,11,1+1,48,İstanbul/Bakırköy/Ataköy 7-8-9-10. Kısım,,Fancoil,550000,TRY
67,Konut,Rezidans,10/11/18,11/11/18,1,31,6-10 arası,20 ve üzeri,2,4+1,,İstanbul/Beşiktaş/Nisbetiye,,Fancoil,9750000,TRY
68,Konut,Daire,1/10/19,,2,48,1,10-20 arası,11,2+1,100,Mersin/Yenişehir/Çiftlikköy,,Fancoil,1100,TRY
69,Konut,Daire,9/21/18,10/19/18,2,28,11-15 arası,,8,1+1,,Ankara/Çankaya/Kızılırmak,,Fancoil,5950,TRY
70,Konut,Villa,12/19/18,1/19/19,1,31,3,2,,5+1,250,Aydın/Efeler/Kardeşköy,,Fancoil,670000,TRY
71,Konut,Villa,12/26/18,1/25/19,1,30,0,2,Müstakil,3+1,180,Antalya/Aksu/Kemerağzı,,Fancoil,1650000,TRY
72,Konut,Daire,10/13/18,12/12/18,2,60,1,20 ve üzeri,20 ve üzeri,2+1,120,İstanbul/Kartal/Kordonboyu,,Fancoil,3500,TRY
73,Konut,Villa,10/12/18,,1,138,,1,Müstakil,3+1,,Muğla/Bodrum/Bahçelievler,,Fancoil,1100000,TRY
74,Konut,Villa,10/9/18,,1,141,0,3,,3+2,,İzmir/Çeşme/Dalyan,,Fancoil,12500000,TRY
75,Konut,Daire,10/14/18,12/13/18,1,60,0,3,3,1+1,,Balıkesir/Edremit/İkizçay,,Fancoil,160000,TRY
76,Konut,Rezidans,1/16/19,2/15/19,1,30,11-15 arası,20 ve üzeri,20 ve üzeri,3+1,245,İstanbul/Beşiktaş/Levent,,Fancoil,6500000,TRY
77,Konut,Rezidans,10/28/18,2/25/19,2,120,0,10-20 arası,1,1+1,,İstanbul/Kağıthane/Çeliktepe,,Fancoil,2200,TRY
78,Konut,Rezidans,10/11/18,12/14/18,1,64,0,20 ve üzeri,20 ve üzeri,3+1,,İstanbul/Şişli/Mecidiyeköy,,Fancoil,10500000,TRY
79,Konut,Daire,2/23/19,,1,4,0,3,1,1+1,40,İzmir/Çeşme/Sakarya,,Fancoil,420000,TRY
80,Konut,Rezidans,9/10/18,12/12/18,1,93,3,20 ve üzeri,20 ve üzeri,6+1,450,İstanbul/Beşiktaş/Levent,,Fancoil,32500000,TRY
81,Konut,Daire,9/13/18,12/13/18,1,91,0,3,2,2+1,,Aydın/Efeler/Ata,,Fancoil,270000,TRY
82,Konut,Villa,10/2/18,2/3/19,2,124,6-10 arası,2,,4+1,200,İzmir/Urla/Çamlıçay,,Fancoil,3600,TRY
83,Konut,Rezidans,12/26/18,,1,63,3,20 ve üzeri,13,3+1,173,Ankara/Çankaya/Kızılırmak,,Fancoil,4000000,TRY
84,Konut,Rezidans,2/4/19,,1,23,11-15 arası,20 ve üzeri,20 ve üzeri,3+1,320,İstanbul/Şişli/Harbiye,,Fancoil,27000000,TRY
85,Konut,Rezidans,11/28/18,12/28/18,1,30,2,10-20 arası,13,2+1,65,İstanbul/Maltepe/Altayçeşme,,Fancoil,980000,TRY
86,Konut,Daire,10/13/18,2/13/19,2,123,1,20 ve üzeri,20 ve üzeri,2+1,120,İstanbul/Kartal/Kordonboyu,,Fancoil,3500,TRY
87,Konut,Daire,2/21/19,,1,6,4,2,Giriş Katı,3+1,120,İzmir/Çeşme/Dalyan,,Fancoil,425000,TRY
88,Konut,Villa,1/24/19,,1,34,0,2,,4+1,230,İzmir/Güzelbahçe/Siteler,,Fancoil,1150000,TRY
89,Konut,Rezidans,9/10/18,,2,170,1,6,5,1+1,,Kocaeli/İzmit/Yahyakaptan,,Fancoil,1200,TRY
90,Konut,Daire,1/7/19,1/7/19,1,0,1,20 ve üzeri,9,6+3,22699,Ankara/Elmadağ/Hasanoğlan Havuzbaşı,,Fancoil,162222,EUR
91,Konut,Daire,9/20/18,10/20/18,1,30,3,2,Çatı Katı,4+1,,İzmir/Güzelbahçe/Yelki,,Fancoil,560000,TRY
92,Konut,Rezidans,11/7/18,12/7/18,1,30,3,20 ve üzeri,20 ve üzeri,6+1,400,İstanbul/Beşiktaş/Levazım,,Fancoil,32500000,TRY
93,Konut,Daire,11/15/18,12/15/18,2,30,0,20 ve üzeri,2,1+1,50,İstanbul/Kartal/Kordonboyu,,Fancoil,2500,TRY
94,Konut,Daire,11/8/18,11/14/18,1,6,1,10-20 arası,En Üst Kat,9+5,60,Ankara/Çankaya/Barbaros,,Fancoil,500000,TRY
95,Konut,Rezidans,1/21/19,1/21/19,1,0,2,8,Çatı Katı,2+2,222,Ankara/Elmadağ/Seyitcemali,,Fancoil,3433501,TRY
96,Konut,Müstakil Ev,10/20/18,,1,130,11-15 arası,3,,3+1,,Balıkesir/Burhaniye/Mahkeme,,Fancoil,310000,TRY
97,Konut,Daire,2/2/19,,1,25,0,5,1,3+1,130,İstanbul/Sultangazi/50. Yıl,,Fancoil,449000,TRY
98,Konut,Rezidans,10/11/18,11/11/18,1,31,0,20 ve üzeri,20 ve üzeri,3+1,,İstanbul/Şişli/Mecidiyeköy,,Fancoil,10500000,TRY
99,Konut,Müstakil Ev,9/25/18,10/25/18,1,30,2,3,Müstakil,5+1,,Tekirdağ/Şarköy/Cumhuriyet,,Fancoil,625000,TRY
100,Konut,Yazlık,1/12/19,,1,46,1,10,9,3+1,150,Mersin/Erdemli/Kargıpınarı,,Fancoil,500000,TRY
101,Konut,Rezidans,11/22/18,,2,97,2,10-20 arası,8,1+0,28,İstanbul/Maltepe/Altayçeşme,,Fancoil,2100,TRY
102,Konut,Rezidans,10/11/18,11/11/18,1,31,6-10 arası,20 ve üzeri,20 ve üzeri,5+1,,İstanbul/Şişli/Harbiye,,Fancoil,49000000,TRY
103,Konut,Villa,10/26/18,,1,124,0,2,Müstakil,4+1,140,İzmir/Çeşme/Alaçatı,,Fancoil,1750000,TRY
104,Konut,Rezidans,10/11/18,12/10/18,1,60,6-10 arası,20 ve üzeri,9,2+1,,İstanbul/Beşiktaş/Gayrettepe,,Fancoil,3000000,TRY
105,Konut,Rezidans,10/11/18,12/10/18,1,60,4,10-20 arası,12,6+1,,İstanbul/Beşiktaş/Vişnezade,,Fancoil,75000000,TRY
106,Konut,Rezidans,12/10/18,2/9/19,2,61,0,20 ve üzeri,20 ve üzeri,3+1,112,İstanbul/Kartal/Kordonboyu,,Fancoil,6000,TRY
107,Konut,Rezidans,11/9/18,12/9/18,1,30,2,10-20 arası,17,1+1,52,İstanbul/Maltepe/Altayçeşme,,Fancoil,825000,TRY
108,Konut,Komple Bina,1/16/19,1/16/19,1,0,2,6,,+,225,Ankara/Elmadağ/Hasanoğlan Havuzbaşı,,Fancoil,757878,GBP
109,Konut,Kooperatif,11/10/18,1/9/19,1,60,0,10,Müstakil,1+0,1,İzmir/Aliağa/Yenişakran,,Fancoil,300000,TRY
110,Konut,Villa,1/7/19,2/6/19,1,30,0,3,,6+1,250,İzmir/Güzelbahçe/Yelki,,Fancoil,1750000,TRY
111,Konut,Daire,11/16/18,1/14/19,2,59,3,5,2,3+1,140,İzmir/Seferihisar/Camikebir,,Fancoil,1400,TRY
112,Konut,Rezidans,11/22/18,,1,97,2,10-20 arası,10,1+0,32,İstanbul/Maltepe/Altayçeşme,,Fancoil,520000,TRY
113,Konut,Daire,1/11/19,2/10/19,1,30,4,3,3,5+1,245,İzmir/Dikili/Salimbey,,Fancoil,715000,TRY
114,Konut,Villa,2/27/19,,2,0,4,3,,4+2,150,İzmir/Güzelbahçe/Yalı,,Fancoil,4000,TRY
115,Konut,Rezidans,10/11/18,12/14/18,1,64,6-10 arası,20 ve üzeri,3,4+1,,İstanbul/Beşiktaş/Dikilitaş,,Fancoil,5750000,TRY
116,Konut,Rezidans,11/28/18,12/28/18,1,30,2,10-20 arası,20 ve üzeri,1+1,55,İstanbul/Maltepe/Altayçeşme,,Fancoil,900000,TRY
117,Konut,Rezidans,11/28/18,2/9/19,1,73,2,10-20 arası,14,1+1,42,İstanbul/Maltepe/Altayçeşme,,Fancoil,871000,TRY
118,Konut,Daire,2/13/19,,1,14,0,20 ve üzeri,20 ve üzeri,1+1,70,İstanbul/Kartal/Kordonboyu,,Fancoil,950000,TRY
119,Konut,Rezidans,2/25/19,,2,2,3,10-20 arası,14,1+0,33,İstanbul/Maltepe/Cevizli,,Fancoil,1700,TRY
120,Konut,Villa,10/3/18,11/2/18,1,30,0,3,,4+1,,İzmir/Urla/Güvendik,,Fancoil,890000,TRY
121,Konut,Rezidans,11/22/18,,1,97,2,10-20 arası,13,1+1,45,İstanbul/Maltepe/Altayçeşme,,Fancoil,804999,TRY
122,Konut,Daire,11/20/18,,1,99,0,10-20 arası,10,3+1,90,İstanbul/Kadıköy/19 Mayıs,,Fancoil,1100000,TRY
123,Konut,Rezidans,11/9/18,2/9/19,1,92,1,8,8,3+1,155,İstanbul/Şişli/İnönü,,Fancoil,5945000,TRY
124,Konut,Daire,10/29/18,11/7/18,2,9,16-20 arası,20 ve üzeri,20 ve üzeri,4+1,170,Ankara/Çankaya/Ayrancı,,Fancoil,2600,TRY
125,Konut,Daire,9/9/18,11/17/18,1,69,0,3,2,2+1,68,İzmir/Seferihisar/Turabiye,,Fancoil,265000,TRY
126,Konut,Villa,2/6/19,,1,21,3,2,,7+2,230,Balıkesir/Karesi/Naipli,,Fancoil,1480000,TRY
127,Konut,Rezidans,10/11/18,2/22/19,1,134,6-10 arası,20 ve üzeri,6,2+1,,İstanbul/Beşiktaş/Gayrettepe,,Fancoil,2850000,TRY
128,Konut,Villa,2/19/19,,1,8,6-10 arası,3,,6+1,255,İzmir/Urla/Denizli,,Fancoil,1410000,TRY
129,Konut,Daire,9/4/18,10/4/18,2,30,0,10-20 arası,5,1+0,,İstanbul/Küçükçekmece/Atakent,,Fancoil,1200,TRY
130,Konut,Rezidans,10/24/18,12/7/18,2,44,0,20 ve üzeri,20 ve üzeri,1+0,42,İstanbul/Kartal/Kordonboyu,,Fancoil,1250,TRY
131,Konut,Rezidans,11/9/18,2/9/19,1,92,1,8,4,1+0,80,İstanbul/Şişli/İnönü,,Fancoil,3668000,TRY
132,Konut,Villa,11/30/18,1/29/19,1,60,0,2,,3+1,120,İzmir/Urla/İskele,,Fancoil,850000,TRY
133,Konut,Rezidans,10/11/18,12/14/18,1,64,3,3,3,5+1,,İstanbul/Sarıyer/İstinye,,Fancoil,5500000,TRY
134,Konut,Daire,9/5/18,1/4/19,1,121,0,10-20 arası,11,1+1,48,İstanbul/Bakırköy/Ataköy 7-8-9-10. Kısım,,Fancoil,550000,TRY
135,Konut,Daire,9/20/18,11/30/18,1,71,4,10-20 arası,2,9+2,,Ankara/Çankaya/Karataş,,Fancoil,829343,TRY
136,Konut,Daire,10/13/18,1/12/19,2,91,0,20 ve üzeri,20 ve üzeri,1+0,30,İstanbul/Kartal/Kordonboyu,,Fancoil,1250,TRY
137,Konut,Müstakil Ev,9/28/18,10/28/18,1,30,2,3,Müstakil,5+1,,Tekirdağ/Şarköy/Cumhuriyet,,Fancoil,625000,TRY
138,Konut,Daire,10/24/18,12/23/18,1,60,3,20 ve üzeri,20 ve üzeri,1+1,,İstanbul/Maltepe/Cevizli,,Fancoil,315000,TRY
139,Konut,Daire,12/12/18,1/11/19,2,30,16-20 arası,20 ve üzeri,8,3+1,136,Ankara/Çankaya/İlkadım,,Fancoil,1800,TRY
140,Konut,Daire,10/13/18,11/12/18,2,30,0,20 ve üzeri,20 ve üzeri,1+0,30,İstanbul/Kartal/Kordonboyu,,Fancoil,1250,TRY
141,Konut,Rezidans,11/9/18,1/24/19,1,76,0,8,3,1+1,85,İstanbul/Şişli/İnönü,,Fancoil,3800000,TRY
142,Konut,Daire,11/2/18,12/2/18,2,30,,20 ve üzeri,20 ve üzeri,4+1,193,İstanbul/Maltepe/Cevizli,,Fancoil,5400,TRY
143,Konut,Rezidans,12/10/18,,2,79,0,20 ve üzeri,15,3+1,,İstanbul/Kartal/Kordonboyu,,Fancoil,6000,TRY
144,Konut,Villa,10/11/18,,1,139,1,3,,4+1,,İzmir/Urla/Güvendik,,Fancoil,1375000,TRY
145,Konut,Rezidans,10/11/18,12/14/18,1,64,0,4,3,3+1,,İstanbul/Sarıyer/İstinye,,Fancoil,7800000,TRY
146,Konut,Rezidans,11/7/18,2/9/19,1,94,3,20 ve üzeri,20 ve üzeri,6+1,400,İstanbul/Beşiktaş/Levazım,,Fancoil,32500000,TRY
147,Konut,Daire,2/6/19,,1,21,0,3,Bahçe katı,3+1,105,Muğla/Bodrum/Dirmil,,Fancoil,1500000,TRY
148,Konut,Villa,12/16/18,,1,73,0,2,,3+1,130,İzmir/Urla/Kuşçular,,Fancoil,1575000,TRY
149,Konut,Daire,12/24/18,12/24/18,1,0,21-25 arası,5,Kot 4,9+4,367331,İstanbul/Güngören/Gençosman,,Fancoil,808222,TRY
150,Konut,Rezidans,2/23/19,,2,4,0,20 ve üzeri,20 ve üzeri,1+0,55,İstanbul/Sarıyer/Huzur,,Fancoil,2250,TRY
151,Konut,Rezidans,11/9/18,1/9/19,1,61,1,8,8,3+1,155,İstanbul/Şişli/İnönü,,Fancoil,5945000,TRY
152,Konut,Daire,9/5/18,2/3/19,1,151,0,10-20 arası,11,1+1,48,İstanbul/Bakırköy/Ataköy 7-8-9-10. Kısım,,Fancoil,550000,TRY
153,Konut,Rezidans,10/11/18,12/10/18,1,60,6-10 arası,20 ve üzeri,6,2+1,,İstanbul/Beşiktaş/Gayrettepe,,Fancoil,2850000,TRY
154,Konut,Villa,10/15/18,10/15/18,1,0,0,2,,4+1,,Muğla/Datça/Mesudiye,,Fancoil,1350000,TRY
155,Konut,Daire,11/27/18,12/27/18,1,30,4,4,Yüksek Giriş,2+1,,Tekirdağ/Çorlu/Çobançeşme,,Fancoil,155000,TRY
156,Konut,Villa,11/28/18,11/30/18,1,2,3,2,,3+1,320,İzmir/Güzelbahçe/Kahramandere,,Fancoil,1350000,TRY
157,Konut,Müstakil Ev,10/24/18,,1,126,0,1,Müstakil,2+1,86,Muğla/Bodrum/Gümüşlük,,Fancoil,1400000,TRY
158,Konut,Daire,11/22/18,,2,97,2,10-20 arası,10,1+1,60,İstanbul/Maltepe/Altayçeşme,,Fancoil,3000,TRY
159,Konut,Daire,9/20/18,12/19/18,1,90,3,2,Çatı Katı,4+1,,İzmir/Güzelbahçe/Yelki,,Fancoil,560000,TRY
160,Konut,Rezidans,11/28/18,12/28/18,1,30,2,10-20 arası,11,1+1,60,İstanbul/Maltepe/Altayçeşme,,Fancoil,900000,TRY
161,Konut,Daire,10/11/18,,2,139,16-20 arası,4,Kot 4,2+1,,İstanbul/Kartal/Gümüşpınar,,Fancoil,1300,TRY
162,Konut,Villa,12/26/18,,1,63,1,3,,4+1,,İzmir/Urla/Güvendik,,Fancoil,1375000,TRY
163,Konut,Daire,9/24/18,11/23/18,1,60,0,3,1,3+1,,Antalya/Kepez/Varsak Karşıyaka,,Fancoil,148000,TRY
164,Konut,Daire,12/7/18,12/13/18,2,6,0,20 ve üzeri,20 ve üzeri,2+1,157,İstanbul/Kartal/Kordonboyu,,Fancoil,3000,TRY
165,Konut,Rezidans,11/9/18,2/9/19,2,92,2,10-20 arası,19,1+0,30,İstanbul/Maltepe/Altayçeşme,,Fancoil,1750,TRY
166,Konut,Villa,10/2/18,12/5/18,2,64,6-10 arası,2,,4+1,200,İzmir/Urla/Çamlıçay,,Fancoil,3600,TRY
167,Konut,Rezidans,9/10/18,9/10/18,1,0,40 ve üzeri,6,19,2+2,,İstanbul/Avcılar/Cihangir,,Fancoil,46800,EUR
168,Konut,Villa,1/4/19,,1,54,0,2,,4+1,160,İzmir/Seferihisar/Hıdırlık,,Fancoil,750000,TRY
169,Konut,Rezidans,10/11/18,12/10/18,1,60,4,20 ve üzeri,1,3+1,,İstanbul/Beşiktaş/Vişnezade,,Fancoil,19500000,TRY
170,Konut,Rezidans,10/3/18,11/23/18,1,51,0,10-20 arası,11,2+1,,Mersin/Yenişehir/Akkent,,Fancoil,270000,TRY
171,Konut,Villa,11/6/18,11/20/18,2,14,0,3,Müstakil,6+1,,İzmir/Güzelbahçe/Kahramandere,,Fancoil,8000,TRY
172,Konut,Villa,1/3/19,,1,55,0,2,,3+1,130,İzmir/Urla/Kuşçular,,Fancoil,1575000,TRY
173,Konut,Daire,11/27/18,12/27/18,1,30,0,10-20 arası,6,2+1,135,Adana/Yüreğir/Akdeniz,,Fancoil,157500,TRY
174,Konut,Villa,11/30/18,11/30/18,1,0,0,2,,3+1,120,İzmir/Urla/İskele,,Fancoil,850000,TRY
175,Konut,Villa,2/14/19,,2,13,11-15 arası,1,Müstakil,5+1,320,Antalya/Döşemealtı/Altınkale,,Fancoil,8500,TRY
176,Konut,Daire,11/23/18,12/23/18,2,30,1,10-20 arası,11,2+1,100,Mersin/Yenişehir/Afetevler,,Fancoil,1100,TRY
177,Konut,Rezidans,10/11/18,11/10/18,1,30,4,20 ve üzeri,1,3+1,,İstanbul/Beşiktaş/Vişnezade,,Fancoil,19500000,TRY
178,Konut,Villa,10/9/18,,2,141,3,3,,4+1,,İzmir/Urla/İskele,,Fancoil,14000,TRY
179,Konut,Villa,10/24/18,,1,126,0,1,Müstakil,3+1,104,Muğla/Bodrum/Gümüşlük,,Fancoil,1925000,TRY
180,Konut,Villa,10/29/18,,1,121,0,2,,4+1,145,Balıkesir/Burhaniye/Pelitköy,,Fancoil,1200000,TRY
181,Konut,Daire,9/24/18,,1,156,4,2,Müstakil,3+1,,İzmir/Menemen/9 Eylül,,Fancoil,840000,TRY
182,Konut,Villa,11/30/18,1/29/19,1,60,0,3,,4+1,150,İzmir/Urla/İskele,,Fancoil,750000,TRY
183,Konut,Villa,11/19/18,,2,100,11-15 arası,2,Müstakil,5+1,270,İzmir/Urla/İçmeler,,Fancoil,7000,TRY
184,Konut,Villa,9/10/18,2/9/19,1,152,0,2,,3+1,110,Muğla/Ula/Akyaka,,Fancoil,455000,TRY
